"blazy href","media__image src","field","field 2","field 3","clearfix","field 4"
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/francisco-jose-perales-raya","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2023-12/Francisco%20Jos%C3%A9%20Perales%20bordador%202.jpg.webp?itok=8qv4DBLN","Francisco José","Perales Raya","Bordador","Bordador multidisciplinar y autodidacta, comencé mi andadura en el año 1998. Si...",""
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/eduardo-ortega-garcia","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2025-06/_DSC8554%20%282%29%20%281%29.jpg.webp?itok=4illrADM","Eduardo","Ortega García","Diseñador","Eduardo es diseñador de moda, o modista que emplea las técnicas y métodos de la...",""
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/ruben-adrian-navarro-valverde","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2023-03/Ruben%20Navarro%20ceramista%202%20-%20copia.jpg.webp?itok=fNVpEXPm","Maestro artesano","Rubén Adrián","Navarro Valverde","Trabajo en mi taller de Cuenca, taller fundado por mi padre Adrián Navarro en...","Cerámica"
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/isabel-rueda-perez","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2023-11/Isabel%20Rueda%20ceramista%202%20%283%29.jpg.webp?itok=ZEGs7isZ","Maestro artesano","Isabel","Rueda Pérez","Nuestro taller, en activo desde 1988, desarrolla una cerámica al estilo...","Cerámica Decoradora de telas"
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/monica-diaz-gomez","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2025-02/Foto%20Monica%20Diaz.jpg.webp?itok=e9N5ckzl","Mónica","Díaz Gómez","Cerámica","Técnico Superior de Artes Plásticas y Diseño en Cerámica Artística obtenido en...",""
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/jose-luis-esteban-huelamo","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2025-10/image00001%20%281%29_0.jpeg.webp?itok=gKO0kbKl","José Luis","Esteban Huélamo","Forjado","Soy la tercera generación de herreros. La herrería se basa en el uso tradicional...",""
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/juan-carlos-jimenez-villanueva","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2023-07/Juan%20Carlos%20Jim%C3%A9nez%20carpintero%202.jpg.webp?itok=DU-OHGND","Maestro artesano","Juan Carlos","Jiménez Villanueva","PREMIOS OBTENIDOS: . 1º Premio Diseño aplicado a la Artesanía 2019. · 1º Premio...","Carpintero, Restaurador de muebles"
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/elisa-maria-martinez-moreno","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2024-04/20211009_163451%20%286%29.jpg.webp?itok=Xztsk8f0","Elisa María","Martínez Moreno","Marroquinería y Bolsera","La Artesanía es una inquietud que he tenido desde la infancia. En el año 2009...",""
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/francisco-manuel-nava-sanchez","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2024-08/foto-franciscomanuel.jpg.webp?itok=K7UkZGeC","Francisco Manuel","Nava Sánchez","Cerámica","Cerámica Oropesa es una empresa singular con una larga tradición artesana en la...",""
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/conrado-cordoba-de-julian","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2025-06/retrato%20blanco%20y%20negro.jpg.webp?itok=nW3nrliy","Maestro artesano","Conrado","Córdoba de Julián","Treinta y cinco años en el oficio de vidriero son los que me han aportado una...","Vidriero artístico"
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/francisco-javier-gonzalez-alameda-0","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2024-05/pro-G2KZSAaq%20%289%29.jpeg.webp?itok=LF0o9FA1","Francisco Javier","González Alameda","Ebanista","En el año 1987 junto con mi hermano formamos la empresa familiar Muebles Laura...",""
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/maria-de-gracia-leal-arias","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2024-10/legado%20artesano%20castilla-la%20mancha.jpg.webp?itok=8pBBzq-R","María de Gracia","Leal Arias","Alfarera","Alfar Arias es una familia que ha dedicado gran parte de su vida a rescatar la...",""
